"PREC"	"EVAP"	"XAJ_test.Qsim...runif.1..0.8..1.2."
0.189	2.112	0.888
0.258	1.812	0.767
1.579	2.122	0.681
1.253	1.934	0.706
0.755	2.146	0.746
0.498	1.985	0.726
0.034	2.003	0.654
2.266	1.707	0.68
1.94	1.917	0.789
9.287	1.724	2.078
5.648	1.46	3.611
3.468	1.784	4.402
2.094	1.699	4.223
0.395	1.675	3.502
1.682	1.316	2.797
0.189	1.732	2.231
0.343	1.533	1.789
0.996	1.367	1.464
1.013	1.894	1.279
1.356	1.74	1.181
0.944	1.691	1.123
1.27	1.696	1.059
0.429	1.893	0.992
0.034	1.683	0.88
0	2.249	0.737
0.086	1.341	0.612
4.309	1.694	0.97
4.12	1.661	1.672
5.081	1.401	2.622
0	1.677	2.841
0	1.648	2.469
0.807	1.271	1.902
1.682	1.083	1.603
1.974	1.327	1.557
1.099	1.858	1.495
1.202	1.334	1.379
1.768	1.037	1.373
2.146	1.228	1.474
1.339	1.195	1.495
0.635	1.254	1.387
0.378	1.301	1.196
0.309	1.261	0.993
0.395	1.319	0.829
8.772	0.951	2.02
0.343	1.014	2.746
0.137	1.62	2.718
2.129	1.849	2.283
0.532	1.181	1.874
0.206	1.411	1.538
0	1.614	1.241
0	1.45	0.999
0	1.188	0.822
0	1.763	0.699
0	1.486	0.613
0	1.427	0.549
2.489	1.247	0.715
1.373	1.307	0.893
0.567	1.121	0.964
0	1.269	0.889
0.154	0.932	0.734
0.429	1.711	0.603
0.069	1.457	0.528
0.772	0.643	0.501
1.185	1.19	0.521
3.348	1.186	0.895
0.052	0.909	1.085
0.378	0.741	1.024
0.343	1.083	0.844
1.167	1.365	0.698
0	0.692	0.634
0	1.359	0.549
0.154	1.142	0.452
0	1.161	0.383
0.12	1.014	0.333
0	1.3	0.302
0.893	1.264	0.289
0.137	1.403	0.32
1.064	1.386	0.337
0.12	0.527	0.364
0	1.127	0.343
0	0.944	0.285
0	1.548	0.23
0	1.119	0.194
0.034	1.405	0.173
0	0.933	0.161
0	1.387	0.152
0.017	0.92	0.144
0.601	1.624	0.147
0.034	1.461	0.178
0	0.95	0.181
0.069	1.199	0.161
0.223	1.218	0.145
0.034	0.944	0.143
3.948	1.475	0.463
1.185	0.948	0.784
0.086	1.007	0.868
0.086	1.321	0.725
0.034	1.32	0.531
0.086	1.129	0.384
0.017	1.5	0.293
0	1.29	0.237
0.034	1.151	0.199
0	0.995	0.174
0	0.806	0.155
0	1.677	0.139
0	1.157	0.126
0.052	1.244	0.117
0.755	1.287	0.123
1.356	0.924	0.23
0.017	1.447	0.316
0.086	1.118	0.304
0	1.031	0.238
0	1.167	0.175
0	1.512	0.132
0	1.426	0.106
0	0.947	0.091
0	1.5	0.082
0	1.626	0.075
0.824	1.525	0.083
0.172	1.89	0.131
1.871	1.843	0.192
5.236	1.349	0.711
0.24	1.858	1.064
1.631	1.173	1.124
0.12	1.275	0.957
0	1.832	0.722
0	1.652	0.503
0	1.507	0.349
0.24	1.848	0.259
0	2.097	0.219
0.635	2.028	0.199
1.322	1.217	0.244
0	1.706	0.309
0.772	1.32	0.303
2.747	1.398	0.439
1.579	1.342	0.624
0.979	1.325	0.697
0.24	1.281	0.64
0.172	1.144	0.5
0	1.96	0.359
0.034	2.017	0.25
3.159	1.8	0.347
0.378	1.711	0.507
0.721	1.792	0.545
0.412	1.992	0.482
0.343	2.072	0.394
0.772	1.812	0.324
0	1.895	0.291
0	2.233	0.238
0.464	1.761	0.183
0.172	2.218	0.167
0.137	2.278	0.157
0	1.542	0.139
0.017	1.923	0.113
1.579	2.327	0.116
0	2.107	0.195
0	2.752	0.206
0.017	1.897	0.157
3.227	2.036	0.252
0.12	2.468	0.418
0	2.136	0.441
0	2.624	0.333
0.206	2.415	0.222
0	2.939	0.16
0.017	3.04	0.121
